BISCUIT,BOURNVITA,BREAD,COCK,COFFEE,CORNFLAKES,JAM,MAGGI,MILK,SUGER,TEA
1,0,1,0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,1,0,0
0,1,1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,1,0,0,1
0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,0,0,1,0,0,1
0,0,1,0,0,0,1,1,0,0,1
0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,1,0
0,1,1,0,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,1,1,0,0,1,0,1
