Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,1-Jan-16,1014.6,1009.8,1018.9,1008.2,1013.6,1015.35,1015.52,1238135,1257352825,30701,529539,42.77
RELIANCE,EQ,4-Jan-16,1015.35,1005,1013.8,986.7,993.2,995.3,998.91,6896571,6889070475,66235,4974602,72.13
RELIANCE,EQ,5-Jan-16,995.3,1000.3,1010,997,1005,1005.15,1003.41,3416459,3428125271,59935,1987804,58.18
RELIANCE,EQ,6-Jan-16,1005.15,1007.6,1038.4,1000.4,1029.1,1032.2,1028.15,6116855,6289073421,160947,2912662,47.62
RELIANCE,EQ,7-Jan-16,1032.2,1021.05,1028,1008.05,1018.9,1013.25,1016.73,4512219,4587700425,105075,2474491,54.84
RELIANCE,EQ,8-Jan-16,1013.25,1020,1032.9,1016.7,1027.4,1025.75,1026.11,4871839,4999056504,176664,2746938,56.38
RELIANCE,EQ,11-Jan-16,1025.75,1015.95,1060.8,1011,1054,1051.6,1047.9,6632671,6950389025,135818,3486732,52.57
RELIANCE,EQ,12-Jan-16,1051.6,1055,1065.4,1041.1,1044.4,1045.45,1053.1,5342761,5626465576,143685,3007937,56.3
RELIANCE,EQ,13-Jan-16,1045.45,1053.1,1089.75,1047.2,1073.2,1076.85,1060.93,16412811,17412825596,176074,9071367,55.27
RELIANCE,EQ,14-Jan-16,1076.85,1063.85,1081,1053.05,1060.45,1061.65,1067.41,6359913,6788622870,137443,3284265,51.64
RELIANCE,EQ,15-Jan-16,1061.65,1069.75,1089.5,1065.6,1072.6,1073.3,1080.4,6575725,7104390948,136461,3749070,57.01
RELIANCE,EQ,18-Jan-16,1073.3,1075,1083.95,1008.1,1020.4,1016.85,1049.91,6229959,6540923210,196022,3348625,53.75
RELIANCE,EQ,19-Jan-16,1016.85,1029,1049.8,1014.1,1046.95,1043.6,1036.51,4912096,5091435246,136592,2110252,42.96
RELIANCE,EQ,20-Jan-16,1043.6,1034.9,1034.9,990,1009.15,1004.55,1008.92,10312353,10404327994,219237,3884483,37.67
RELIANCE,EQ,21-Jan-16,1004.55,1017.55,1025.75,976.7,982.45,984.2,994.85,7261772,7224376995,184992,2395817,32.99
RELIANCE,EQ,22-Jan-16,984.2,994.05,1011,994.05,1004.05,1004.15,1003.25,5413455,5431058011,125503,2921202,53.96
RELIANCE,EQ,25-Jan-16,1004.15,1010,1018.75,1000,1000.2,1003.95,1010.67,2994340,3026275942,88530,1470352,49.1
RELIANCE,EQ,27-Jan-16,1003.95,1008.1,1010,996.95,997,999.35,1004.13,3943295,3959581189,90937,2006348,50.88
RELIANCE,EQ,28-Jan-16,999.35,1001,1021.8,997.1,1015.5,1016.9,1012.35,5274473,5339625414,87223,2985253,56.6
RELIANCE,EQ,29-Jan-16,1016.9,1018.95,1040,1018,1036,1035.4,1032.75,4383577,4527146899,85556,2336975,53.31
RELIANCE,EQ,1-Feb-16,1035.4,1039.95,1041.8,1025.55,1028.2,1030.3,1032.86,2267273,2341781935,66817,943684,41.62
RELIANCE,EQ,2-Feb-16,1030.3,1030.3,1032.8,990.5,995.5,1001.15,1013.98,3376466,3423672334,107860,1517109,44.93
RELIANCE,EQ,3-Feb-16,1001.15,988,994,975,980,981.4,984.1,3586808,3529766340,84824,1560107,43.5
RELIANCE,EQ,4-Feb-16,981.4,988,1001,965.7,977.65,973.05,983.08,4161079,4090669618,117696,1682274,40.43
