Number of Units,Manufacturing Cost
1,95.06605578
1.185993649,96.53174997
1.19149864,73.66131056
1.204771398,95.5668425
1.298772823,98.77701266
1.307435033,100
1.339385699,94.75975637
1.379043602,67.18538349
1.419999515,72.88604061
1.473948344,61.96769605
1.540898452,69.28409692
1.574599858,64.55249643
1.620309789,77.67937742
1.631997227,58.42664546
1.65268704,51.4409698
1.695801032,60.92903611
1.704214274,81.86775617
1.739201389,60.5725967
1.760146268,74.12260141
1.767001878,71.61417311
1.777280346,77.98340868
1.784341505,57.68193975
1.802089167,52.96440828
1.815917415,69.1787313
1.82328911,70.42005203
1.831097216,36.08580039
1.832406608,81.49469151
1.842875742,59.64067983
1.845840644,63.40954945
1.865227752,55.03613926
1.87414418,58.06045968
1.895730774,52.11412489
1.943028599,61.27727337
1.987770404,62.5960052
1.991902366,61.23299391
2.004803791,60.02154297
2.052316741,47.88555562
2.064920557,54.90274827
2.07583577,54.17817589
2.105273495,60.21890139
2.113298687,44.71285113
2.118589549,45.64983585
2.141908761,57.80822022
2.151590015,52.02926301
2.17131692,54.10994815
2.189511901,73.77810164
2.210294609,56.54285158
2.218826211,61.09323474
2.225359851,68.02951817
2.257130584,47.32132667
2.265811733,48.76154994
2.305669497,75.52197014
2.310894649,63.99907453
2.319749327,51.41362716
2.332039473,65.26837002
2.339398963,54.02985162
2.340091358,60.70732964
2.35487745,42.13535314
2.35879471,40.54420656
2.363755712,66.71268413
2.379991846,57.82831989
2.3948513,84.1944303
2.415282866,52.05941671
2.47972272,59.1296489
2.500418434,71.37560808
2.50270529,44.44253942
2.517357548,46.3641551
2.520240287,61.8796408
2.54040565,53.88202578
2.544661258,50.41445044
2.565105413,39.70497833
2.566028174,55.10355617
2.57552743,53.38827224
2.577461843,69.29293716
2.583309391,52.76647821
2.591417537,52.30721696
2.601149913,55.56943095
2.60380291,46.46106513
2.622320237,53.39451655
2.625372826,51.89758778
2.646550845,47.51052846
2.649751145,52.88281275
2.665855815,48.57842453
2.672300438,49.03049916
2.673640399,50.40206506
2.68348519,48.3006527
2.691826243,46.85413944
2.695351098,53.15093042
2.704341249,54.43253575
2.714093635,61.15460445
2.715137909,35.04031845
2.730010771,52.31833727
2.741249821,54.3271593
2.75642666,46.83855483
2.75956757,55.564663
2.761980528,48.25828248
2.762051942,50.21617071
2.763321319,63.47827452
2.766302984,58.19043503
2.768716877,52.7824137
2.769290402,51.46356889
2.784380342,39.55218499
2.794083251,57.48836014
2.800515433,45.1736874
2.818081042,62.61388793
2.833145398,38.75943874
2.834925007,48.72359842
2.840834896,51.5409172
2.861985434,63.46838444
2.866499701,57.94299255
2.867011654,47.03185761
2.867951676,57.28801991
2.870153239,50.82185012
2.872302517,45.30220825
2.877589606,55.15095013
2.879911204,56.15562694
2.880494259,51.23657104
2.882068889,52.67004307
2.898610363,51.22766924
2.912220883,48.14645225
2.935174119,51.7832235
2.935645518,49.84437556
2.943189364,38.82502575
2.947365451,34.43225112
2.957189192,54.2479001
2.963645283,60.88137902
2.976413077,45.29584889
2.994163669,52.6358567
2.998296196,42.3936968
3.005870806,43.47536539
3.00691503,58.64209835
3.028057124,53.35906151
3.029633167,60.33480459
3.033262324,40.35257435
3.039246653,50.33058815
3.049807508,44.11768825
3.049855919,54.46217615
3.053395049,49.37130414
3.054661634,49.06048369
3.056004902,42.48725972
3.061049094,59.19372961
3.062586739,50.1270252
3.063800731,40.93367757
3.074626856,46.30425214
3.075369343,37.12293689
3.088650008,46.14495683
3.089434711,55.57386345
3.090454333,57.91827206
3.090858875,46.50799081
3.091580165,42.50668906
3.096392027,42.23165721
3.10196381,41.4737039
3.10574992,40.64649151
3.106898446,46.45540158
3.112526304,35.13028137
3.117485245,43.25859684
3.120329925,45.61659085
3.125066708,46.57991823
3.125820293,43.44359512
3.129605875,48.92783413
3.132415098,60.14864133
3.133643748,56.18394499
3.135749639,46.81825899
3.136358539,61.16102299
3.170540047,46.01348806
3.175399108,49.19126818
3.17609958,60.60909519
3.178191941,50.61010052
3.180539805,43.93981811
3.182894874,34.2607683
3.182915248,45.49647278
3.187170539,39.44239678
3.187435985,38.22099833
3.204932839,41.62328818
3.210711263,48.23441976
3.211555038,38.03657062
3.214964769,36.27419147
3.221589543,45.63794355
3.224527491,38.21936364
3.224624964,41.44767402
3.229599191,39.08102569
3.234685542,55.79027389
3.244789644,51.34509415
3.248556118,38.33529669
3.254585972,54.68698146
3.264345997,48.17616692
3.269303829,45.40705855
3.273570058,45.21944945
3.277881159,48.96387392
3.278805545,30.1198667
3.280738265,44.87984276
3.287707413,48.58958162
3.287785029,42.07949007
3.291947287,42.19725437
3.294657673,51.08143221
3.301225004,43.39990885
3.309799686,38.49736728
3.326259428,62.6336471
3.32766635,40.29391558
3.333152584,25.46945637
3.335175108,37.3847811
3.33665758,50.71207444
3.338979013,47.6353733
3.340993363,51.91146643
3.348142524,41.29859432
3.357969557,52.94727372
3.360152253,45.58580157
3.362083252,41.53968161
3.362637416,53.91610253
3.368755543,57.86861779
3.371585823,43.67918613
3.371696337,38.75475977
3.372115264,41.12721176
3.378271008,46.49450364
3.383359477,41.28032912
3.385906684,34.93090553
3.389468947,53.43115664
3.40301825,49.37759431
3.406138256,48.17360822
3.407906173,22.75526402
3.408240666,47.4211401
3.410349273,51.81471991
3.413700946,42.87596634
3.413826657,41.7625706
3.417106293,48.38828034
3.418840769,52.51032406
3.426723323,49.20402565
3.426826801,36.11221868
3.432893889,46.12009947
3.43387732,47.65897734
3.447488854,46.2964003
3.474816035,39.15352593
3.477698068,41.07846097
3.479438657,48.38128147
3.480362149,45.06625839
3.488910405,46.13064469
3.498395777,38.93442652
3.514742696,32.75782167
3.528662213,43.08036922
3.537279999,44.88004621
3.541939333,48.41244756
3.544963917,48.36630157
3.552496398,38.11016745
3.552928295,30.99795154
3.558202856,48.37755252
3.573180086,48.75325213
3.575958425,43.37277893
3.576501404,44.85052102
3.579993199,44.52079801
3.592758425,39.28016763
3.59469962,39.8242429
3.595728179,29.06122871
3.605226384,52.41519721
3.607471201,36.53899251
3.608028307,41.97776748
3.614604498,47.33603528
